# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
1.000000000000000021e-02,-6.389069387012315249e-02,9.812484195599361358e-01,-6.375887489801833397e+00,-4.070299635764533797e-01
2.000000000000000042e-02,-1.275169287816570740e-01,9.751410035739742632e-01,-6.336296258835793616e+00,-8.122808253024422775e-01
2.999999999999999889e-02,-1.906152548791591461e-01,9.649944805425195726e-01,-6.270487937232936737e+00,-1.213976673774912918e+00
4.000000000000000083e-02,-2.529247874187808831e-01,9.508532606067843229e-01,-6.178782045798221212e+00,-1.610362145469858230e+00
5.000000000000000278e-02,-3.141884699319205110e-01,9.327791787676075197e-01,-6.061622998915028759e+00,-1.999712526997625250e+00
5.999999999999999778e-02,-3.741543088385324012e-01,9.108511384007806910e-01,-5.919576801486719830e+00,-2.380343544606011275e+00
7.000000000000000666e-02,-4.325765705226371494e-01,8.851646586992040211e-01,-5.753326873246541240e+00,-2.750620744091524905e+00
8.000000000000000167e-02,-4.892169324069892689e-01,8.558313306065497006e-01,-5.563669058337842976e+00,-3.108968371871929204e+00
8.999999999999999667e-02,-5.438455801978940851e-01,8.229781866573219196e-01,-5.351505888298288660e+00,-3.453877677081909070e+00
1.000000000000000056e-01,-5.962422442001414913e-01,7.867469908903245157e-01,-5.117840175253991930e+00,-3.783914564920635382e+00
1.100000000000000006e-01,-6.461971684094275359e-01,7.472934556453789678e-01,-4.863768019086361249e+00,-4.097726542818962869e+00
1.199999999999999956e-01,-6.935120069576636848e-01,7.047863925784532135e-01,-4.590471317475407709e+00,-4.394048913001513235e+00
1.300000000000000044e-01,-7.380006433967135626e-01,6.594068056330312233e-01,-4.299209871004639361e+00,-4.671710177385446805e+00
1.400000000000000133e-01,-7.794899292396708645e-01,6.113469339835428951e-01,-3.991313176945764152e+00,-4.929636633178699157e+00
1.499999999999999944e-01,-8.178203391175141723e-01,5.608092531209436515e-01,-3.668172004989432189e+00,-5.166856149726423375e+00
1.600000000000000033e-01,-8.528465408354397592e-01,5.080054422848316875e-01,-3.331229846160457253e+00,-5.382501128839598969e+00
1.700000000000000122e-01,-8.844378795112736169e-01,4.531553263670982101e-01,-2.981974322601209426e+00,-5.575810661789919465e+00
1.799999999999999933e-01,-9.124787758336816434e-01,3.964858002274512239e-01,-2.621928641005528249e+00,-5.746131906172206705e+00
1.900000000000000022e-01,-9.368690392779310816e-01,3.382297430814714123e-01,-2.252643166440998268e+00,-5.892920714762134082e+00
2.000000000000000111e-01,-9.575240978513478440e-01,2.786249302587345267e-01,-1.875687186327765765e+00,-6.015741556217197861e+00
2.099999999999999922e-01,-9.743751466012391393e-01,2.179129491945095698e-01,-1.492640926671402468e+00,-6.114266773908610730e+00
2.200000000000000011e-01,-9.873692176990198632e-01,1.563381260266831219e-01,-1.105087874498322353e+00,-6.188275234297345939e+00
2.300000000000000100e-01,-9.964691754119242573e-01,9.414646863308226421e-02,-7.146074520292240440e-01,-6.237650420082140101e+00
2.399999999999999911e-01,-1.001653639686407082e+00,3.158463137627237627e-02,-3.227680796491885773e-01,-6.262378025887328725e+00
2.500000000000000000e-01,-1.002916842395459307e+00,-3.110109376432466932e-02,6.887934362606257244e-02,-6.262543115588697695e+00
2.600000000000000089e-01,-1.000268420547626436e+00,-9.366575558780521060e-02,4.588075215700895271e-01,-6.238326900583904155e+00
2.700000000000000178e-01,-9.937331509220341808e-01,-1.558666881008266836e-01,8.455183911033254951e-01,-6.190003197506157129e+00
2.800000000000000266e-01,-9.833506306859349788e-01,-2.174644180649653591e-01,1.227548295785946264e+00,-6.117934622173735626e+00
2.899999999999999800e-01,-9.691749085749162829e-01,-2.782235333042526459e-01,1.603472703181479719e+00,-6.022568574089055105e+00
2.999999999999999889e-01,-9.512740711774010371e-01,-3.379135099436309519e-01,1.971910472695123762e+00,-5.904433062677751920e+00
3.099999999999999978e-01,-9.297297887713589226e-01,-3.963094972438117591e-01,2.331527685651475945e+00,-5.764132422817709767e+00
3.200000000000000067e-01,-9.046368250194568583e-01,-4.531930591540804798e-01,2.681041053811330510e+00,-5.602342963172873169e+00
3.300000000000000155e-01,-8.761025146464973545e-01,-5.083528721186318933e-01,3.019220926236446001e+00,-5.419808586532362860e+00
3.400000000000000244e-01,-8.442462130071449744e-01,-5.615853790417995040e-01,3.344893917410036277e+00,-5.217336416868045390e+00
3.500000000000000333e-01,-8.091987212096125592e-01,-6.126953996418417203e-01,3.656945181837139014e+00,-4.995792463258698746e+00
3.599999999999999867e-01,-7.711016901988240191e-01,-6.614966977014362648e-01,3.954320362020680157e+00,-4.756097346270121484e+00
3.699999999999999956e-01,-7.301070069268271734e-01,-7.078125059561707344e-01,4.236027237780970900e+00,-4.499222107900051171e+00
3.800000000000000044e-01,-6.863761654546549629e-01,-7.514760095512093008e-01,4.501137105408399286e+00,-4.226184121854806186e+00
3.900000000000000133e-01,-6.400796255436621562e-01,-7.923307891426253358e-01,4.748785915163795224e+00,-3.938043116770162833e+00
4.000000000000000222e-01,-5.913961610103062316e-01,-8.302312248257102123e-01,4.978175195221782090e+00,-3.635897321060634013e+00
4.100000000000000311e-01,-5.405121998405597594e-01,-8.650428621403247753e-01,5.188572789342233094e+00,-3.320879734407868433e+00
4.199999999999999845e-01,-4.876211577922952012e-01,-8.966427414357239778e-01,5.379313434404584982e+00,-2.994154527500810126e+00
4.299999999999999933e-01,-4.329227669592114469e-01,-9.249196918770945519e-01,5.549799202497236017e+00,-2.656913568530616665e+00
4.400000000000000022e-01,-3.766224005308774214e-01,-9.497745913462276590e-01,5.699499830564064951e+00,-2.310373072129159322e+00
4.500000000000000111e-01,-3.189303947625027336e-01,-9.711205934322857392e-01,5.827952958712674381e+00,-1.955770363923283073e+00
4.600000000000000200e-01,-2.600613689669977746e-01,-9.888833226284817757e-01,5.934764296220528479e+00,-1.594360751656205055e+00
4.700000000000000289e-01,-2.002335441622905277e-01,-1.003001038749619100e+00,6.019607732067698613e+00,-1.227414491898038751e+00
4.799999999999999822e-01,-1.396680608499652199e-01,-1.013424771466719498e+00,6.082225404506294453e+00,-8.562138397233187703e-01
4.899999999999999911e-01,-7.858829626806526636e-02,-1.020118425721220357e+00,6.122427741770872345e+00,-4.820501673675328669e-01
5.000000000000000000e-01,-1.721918135211474021e-02,-1.023058858635193413e+00,6.140093483561715360e+00,-1.062211367799030803e-01
5.100000000000000089e-01,4.421348244536457001e-02,-1.022235928378394609e+00,6.135169690411445664e+00,2.699720898405919001e-01
5.200000000000000178e-01,1.054837063849237561e-01,-1.017652515290331072e+00,6.107671745490141468e+00,6.452276180102936021e-01
5.300000000000000266e-01,1.663659976606011448e-01,-1.009324515388465571e+00,6.057683350828271251e+00,1.018245584227897016e+00
5.400000000000000355e-01,2.266360425582800431e-01,-9.972808062247230376e-01,5.985356517352507844e+00,1.387730931408441171e+00
5.500000000000000444e-01,2.860713894805784197e-01,-9.815631848841259721e-01,5.890911545548480177e+00,1.752396213161576011e+00
5.600000000000000533e-01,3.444521317220816670e-01,-9.622262777541835677e-01,5.774636990998519792e+00,2.110964443150595393e+00
5.700000000000000622e-01,4.015615898083982893e-01,-9.393374215341416811e-01,5.636889606504100314e+00,2.462172005071599390e+00
5.799999999999999600e-01,4.571869931169731949e-01,-9.129765148019469700e-01,5.478094250006062538e+00,2.804771637834015952e+00
5.899999999999999689e-01,5.111201603773286584e-01,-8.832358393164273513e-01,5.298743745077020506e+00,3.137535509298574610e+00
5.999999999999999778e-01,5.631581785040828958e-01,-8.502198501054458735e-01,5.099398678398502582e+00,3.459258390429887697e+00
6.099999999999999867e-01,6.131040790485926539e-01,-8.140449332804189364e-01,4.880687116372426360e+00,3.768760939941049770e+00
6.199999999999999956e-01,6.607675113654872812e-01,-7.748391304264450330e-01,4.643304220878206046e+00,4.064893107440522790e+00
6.300000000000000044e-01,7.059654113800916120e-01,-7.327418283482779460e-01,4.388011742202807319e+00,4.346537660731778274e+00
6.400000000000000133e-01,7.485226646134750528e-01,-6.879034129084357074e-01,4.115637365375278023e+00,4.612613840260590514e+00
6.500000000000000222e-01,7.882727618756797394e-01,-6.404848856778467825e-01,3.827073884567806950e+00,4.862081140753625519e+00
6.600000000000000311e-01,8.250584457770352431e-01,-5.906574421345298642e-01,3.523278178924418746e+00,5.093943216849516453e+00
6.700000000000000400e-01,8.587323459352651511e-01,-5.386020101947721628e-01,3.205269962191976685e+00,5.307251905999777364e+00
6.800000000000000488e-01,8.891576004757217877e-01,-4.845087479468571101e-01,2.874130277905543540e+00,5.501111358128270012e+00
6.900000000000000577e-01,9.162084611374403664e-01,-4.285764995821464973e-01,2.530999711672910824e+00,5.674682257508934846e+00
7.000000000000000666e-01,9.397708790131985568e-01,-3.710122086845010214e-01,2.177076292364294563e+00,5.827186118085414535e+00
7.099999999999999645e-01,9.597430676723566201e-01,-3.120302882485118667e-01,1.813613054795650159e+00,5.957909629056513445e+00
7.199999999999999734e-01,9.760360401464148739e-01,-2.518519470512021741e-01,1.441915237848956144e+00,6.066209023042336668e+00
7.299999999999999822e-01,9.885741160049301701e-01,-1.907044723015383636e-01,1.063337093947543721e+00,6.151514434593170044e+00
7.399999999999999911e-01,9.972953945201064041e-01,-1.288204688373431051e-01,6.792782884405448307e-01,6.213334212284209457e+00
7.500000000000000000e-01,1.002152189718827247e+00,-6.643705552926987279e-02,2.911798707807540798e-01,6.251259143243287575e+00
7.600000000000000089e-01,1.003111422958202326e+00,-3.795019984673575486e-03,-9.948019657347140221e-02,6.264966544786087610e+00
7.700000000000000178e-01,1.000154968542104061e+00,5.886206688226570949e-02,-4.911919608312008134e-01,6.254224173994262337e+00
7.800000000000000266e-01,9.932799478289200401e-01,1.212887743378563143e-01,-8.824188569296911311e-01,6.218893902684998309e+00
7.900000000000000355e-01,9.824989672719015577e-01,1.832387707560855783e-01,-1.271603538621861373e+00,6.158935102410410423e+00
8.000000000000000444e-01,9.678402958897505126e-01,2.444658148019853150e-01,-1.657174153416699269e+00,6.074407682019174359e+00
8.100000000000000533e-01,9.493479777925281082e-01,3.047247751041204378e-01,-2.037551044819790214e+00,5.965474719037687557e+00
8.200000000000000622e-01,9.270818755918431853e-01,3.637726740575316642e-01,-2.411153857472815076e+00,5.832404625805515330e+00
8.300000000000000711e-01,9.011176408087147038e-01,4.213697508086964305e-01,-2.776409012595283610e+00,5.675572792041766235e+00
8.399999999999999689e-01,8.715466077603113426e-01,4.772805378973318802e-01,-3.131757512735596549e+00,5.495462647422344915e+00
8.499999999999999778e-01,8.384756078591526496e-01,5.312749454782093039e-01,-3.475663026411480949e+00,5.292666090889408537e+00
8.599999999999999867e-01,8.020267017947158017e-01,5.831293465322869851e-01,-3.806620194952014646e+00,5.067883237844911015e+00
8.699999999999999956e-01,7.623368276851341108e-01,6.326276560134801441e-01,-4.123163095951403179e+00,4.821921442120405743e+00
8.800000000000000044e-01,7.195573639810687316e-01,6.795623964783887860e-01,-4.423873790426267050e+00,4.555693556650842524e+00
8.900000000000000133e-01,6.738536066679293723e-01,7.237357424240844495e-01,-4.707390874256439872e+00,4.270215405057970592e+00
9.000000000000000222e-01,6.254041611372244125e-01,7.649605353256763163e-01,-4.972417949004916515e+00,3.966602445775349484e+00
9.100000000000000311e-01,5.744002499715632482e-01,8.030612612317391541e-01,-5.217731922966316382e+00,3.646065620786254069e+00
9.200000000000000400e-01,5.210449387973165036e-01,8.378749827511420278e-01,-5.442191050477002356e+00,3.309906392321375623e+00
9.300000000000000488e-01,4.655522832889483209e-01,8.692522173567320820e-01,-5.644742616298817239e+00,2.959510982760126918e+00
9.400000000000000577e-01,4.081464013428727777e-01,8.970577541447570802e-01,-5.824430172391847016e+00,2.596343845248613391e+00
9.500000000000000666e-01,3.490604753585530018e-01,9.211714015262322253e-01,-5.980400236706688410e+00,2.221940404912313927e+00
9.599999999999999645e-01,2.885356904520176569e-01,9.414886587871926782e-01,-6.111908367791602181e+00,1.837899122705998645e+00
9.699999999999999734e-01,2.268201152634553019e-01,9.579213050353816428e-01,-6.218324535009466025e+00,1.445872945600985782e+00
9.799999999999999822e-01,1.641675327879318913e-01,9.703978997447881838e-01,-6.299137711922743854e+00,1.047560217654444292e+00
9.899999999999999911e-01,1.008362293394175491e-01,9.788641899069157049e-01,-6.353959629804736053e+00,6.446951362424351295e-01
1.000000000000000000e+00,3.708775033761953221e-02,9.832834196862153542e-01,-6.382527639091330585e+00,2.390378460957933160e-01
1.010000000000000009e+00,-2.681436792892204213e-02,9.836365394416692887e-01,-6.384706638669198853e+00,-1.676357294828524358e-01
1.020000000000000018e+00,-9.060588107239492262e-02,9.799223119997745313e-01,-6.360490045931331160e+00,-5.735442159172712273e-01
1.030000000000000027e+00,-1.540231242136279044e-01,9.721573151271496460e-01,-6.309999794212931334e+00,-9.769111659003819614e-01
1.040000000000000036e+00,-2.168042946700931006e-01,9.603758402335051958e-01,-6.233485358221036776e+00,-1.375975380989671759e+00
1.050000000000000044e+00,-2.786907200425234321e-01,9.446296884170227726e-01,-6.131321822049513592e+00,-1.769001069214428901e+00
1.060000000000000053e+00,-3.394281022342670595e-01,9.249878660235925087e-01,-6.004007017987998296e+00,-2.154287734841900281e+00
1.070000000000000062e+00,-3.987677282866008976e-01,9.015361829088186507e-01,-5.852157777262737781e+00,-2.530179701578556095e+00
1.080000000000000071e+00,-4.564676393873670079e-01,8.743767575484424626e-01,-5.676505345787619561e+00,-2.895075177400754374e+00
1.090000000000000080e+00,-5.122937499981470300e-01,8.436274340218588019e-01,-5.477890028688352508e+00,-3.247434777714238496e+00
1.100000000000000089e+00,-5.660209097329587102e-01,8.094211166799807344e-01,-5.257255136568771192e+00,-3.585789433390569325e+00
1.110000000000000098e+00,-6.174339013933546338e-01,7.719050289907143370e-01,-5.015640314042521197e+00,-3.908747621145543860e+00
1.120000000000000107e+00,-6.663283694035773141e-01,7.312399036235109895e-01,-4.754174336837212245e+00,-4.215001865413841919e+00
1.130000000000000115e+00,-7.125116737769162656e-01,6.875991112826758123e-01,-4.474067467728668035e+00,-4.503334473029723561e+00
1.140000000000000124e+00,-7.558036656621131000e-01,6.411677361242015261e-01,-4.176603463672778460e+00,-4.772622474341152277e+00
1.150000000000000133e+00,-7.960373814482705201e-01,5.921416057927694210e-01,-3.863131326816764854e+00,-5.021841756571388871e+00
1.159999999999999920e+00,-8.330596533306370288e-01,5.407262841969434630e-01,-3.535056890683299091e+00,-5.250070387025949081e+00
1.169999999999999929e+00,-8.667316351414131592e-01,4.871360351068154126e-01,-3.193834329864175814e+00,-5.456491134880428362e+00
1.179999999999999938e+00,-8.969292431144508804e-01,4.315927645170370974e-01,-2.840957677203337362e+00,-5.640393210567251181e+00
1.189999999999999947e+00,-9.235435120673085585e-01,3.743249494788084553e-01,-2.477952426885924542e+00,-5.801173251036798817e+00
1.199999999999999956e+00,-9.464808682375529525e-01,3.155665607779791215e-01,-2.106367295291832420e+00,-5.938335587271410532e+00
1.209999999999999964e+00,-9.656633206936018343e-01,2.555559864350517296e-01,-1.727766204139023376e+00,-6.051491837291871789e+00
1.219999999999999973e+00,-9.810285738471544725e-01,1.945349625393018589e-01,-1.343720542554699193e+00,-6.140359873467727603e+00
1.229999999999999982e+00,-9.925300641199132912e-01,1.327475174164835237e-01,-9.558017564864318416e-01,-6.204762217215661124e+00
1.239999999999999991e+00,-1.000136924259539484e+00,7.043893458061262214e-02,-5.655743055035291622e-01,-6.244623917168726557e+00
1.250000000000000000e+00,-1.003833879158221754e+00,7.854739347654265957e-03,-1.745890187273539396e-01,-6.259969968677689067e+00
1.260000000000000009e+00,-1.003621077303265885e+00,-5.476028659556152201e-02,2.156231264665778857e-01,-6.250922333142925780e+00
1.270000000000000018e+00,-9.995138621856580752e-01,-1.171630589592435878e-01,6.035567870698148596e-01,-6.217696615269445282e+00
1.280000000000000027e+00,-9.915424881138532598e-01,-1.791131098237618846e-01,9.877375897427673745e-01,-6.160598455000831919e+00
1.290000000000000036e+00,-9.797517849313790439e-01,-2.403734692450001376e-01,1.366727016847737008e+00,-6.080019688741602479e+00
1.300000000000000044e+00,-9.642007761243065467e-01,-3.007115074523565301e-01,1.739126847319605318e+00,-5.976434331647194398e+00
1.310000000000000053e+00,-9.449622547348961454e-01,-3.598997361018050345e-01,2.103583161852798256e+00,-5.850394429372422600e+00
1.320000000000000062e+00,-9.221223213777794969e-01,-4.177165675120617649e-01,2.458789926546685045e+00,-5.702525823845282282e+00
1.330000000000000071e+00,-8.957798884920541438e-01,-4.739470312374137184e-01,2.803492173100009754e+00,-5.533523873489742506e+00
