# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,3.300000000000002931e-02,-4.850930789401861887e+01,0.000000000000000000e+00
1.000000000000000021e-02,-4.850930789401862175e-01,-1.779599522697767000e+00,-4.767625653935350982e+01,-1.813166232384988348e+02
2.000000000000000042e-02,-9.617030642415044239e-01,-3.592206003828675165e+00,-4.765730825408066096e+01,-1.812468640307272096e+02
2.999999999999999889e-02,-1.438239232603807594e+00,-5.404536760272852902e+00,-4.765199394399549249e+01,-1.812269772296375265e+02
4.000000000000000083e-02,-1.914742942295317718e+00,-7.216745545307796661e+00,-4.764946295428160994e+01,-1.812174561578872272e+02
5.000000000000000278e-02,-2.391228491536155243e+00,-9.028885882851993117e+00,-4.764797565100332122e+01,-1.812118465144627635e+02
5.999999999999999778e-02,-2.867702455271500916e+00,-1.084098247543120763e+01,-4.764699495549704977e+01,-1.812081417483585426e+02
7.000000000000000666e-02,-3.344168390629906007e+00,-1.265304871775792250e+01,-4.764629906313265195e+01,-1.812055100610510010e+02
8.000000000000000167e-02,-3.820628436527092830e+00,-1.446509267662550080e+01,-4.764577938957783942e+01,-1.812035432676244113e+02
8.999999999999999667e-02,-4.297083978417994388e+00,-1.627711958309727436e+01,-4.764537640970470278e+01,-1.812020172285684225e+02
1.000000000000000056e-01,-4.773535964719324731e+00,-1.808913302118981292e+01,-4.764505472997832669e+01,-1.812007985050895513e+02
1.100000000000000006e-01,-5.249985073016489423e+00,-1.990113555319500449e+01,-4.764479197219451123e+01,-1.811998026469227341e+02
1.199999999999999956e-01,-5.726431804162563921e+00,-2.171312907412579918e+01,-4.764457328894155097e+01,-1.811989735803087740e+02
1.300000000000000044e-01,-6.202876538794906303e+00,-2.352511502479961081e+01,-4.764438843897856657e+01,-1.811982726032174753e+02
1.400000000000000133e-01,-6.679319572941861516e+00,-2.533709452618911229e+01,-4.764423012826873816e+01,-1.811976721368119456e+02
1.499999999999999944e-01,-7.155761141360094335e+00,-2.714906846753514102e+01,-4.764409302027436866e+01,-1.811971519946590377e+02
1.600000000000000033e-01,-7.632201433347217900e+00,-2.896103756608179580e+01,-4.764397312019850261e+01,-1.811966970599743831e+02
1.700000000000000122e-01,-8.108640603763971555e+00,-3.077300240873427128e+01,-4.764386737802004745e+01,-1.811962957873194853e+02
1.799999999999999933e-01,-8.585078780907551277e+00,-3.258496348182791991e+01,-4.764377342465390086e+01,-1.811959392062614143e+02
1.900000000000000022e-01,-9.061516072256997845e+00,-3.439692119285930261e+01,-4.764368939188710073e+01,-1.811956202410958667e+02
2.000000000000000111e-01,-9.537952568745254212e+00,-3.620887588664969314e+01,-4.764361378660483126e+01,-1.811953332354911197e+02
2.099999999999999922e-01,-1.001438834798906541e+01,-3.802082785756901728e+01,-4.764354540111690994e+01,-1.811950736134543547e+02
2.200000000000000011e-01,-1.049082347676757010e+01,-3.983277735891869753e+01,-4.764348324804405621e+01,-1.811948376330767871e+02
2.300000000000000100e-01,-1.096725801294992841e+01,-4.164472461023048311e+01,-4.764342651225684477e+01,-1.811946222047198489e+02
2.399999999999999911e-01,-1.144369200701269129e+01,-4.345666980301303539e+01,-4.764337451487351416e+01,-1.811944247547856719e+02
