# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01,-8.111557351947224603e+00,0.000000000000000000e+00
1.000000000000000021e-02,-8.111557351947225325e-02,7.464908073240571484e-01,-8.074260317482901073e+00,-6.957701345061403364e-01
2.000000000000000042e-02,-1.614799834882474916e-01,7.360526676431468074e-01,-7.962801554315807273e+00,-1.380273990021744002e+00
2.999999999999999889e-02,-2.403630976520251816e-01,7.188545431535824370e-01,-7.780503976287270085e+00,-2.042754516943865895e+00
4.000000000000000083e-02,-3.170786237217505521e-01,6.951685865399674924e-01,-7.532628076125420513e+00,-2.673555937441488783e+00
5.000000000000000278e-02,-3.910017594644729089e-01,6.653567480780686605e-01,-7.225977563045867136e+00,-3.264525063999501597e+00
5.999999999999999778e-02,-4.615823594328508639e-01,6.298540912220400578e-01,-6.868427802570290730e+00,-3.809260789897186861e+00
7.000000000000000666e-02,-5.283531522550720672e-01,5.891504292841168722e-01,-6.468436218757283029e+00,-4.303205524044671826e+00
8.000000000000000167e-02,-5.909331209928825324e-01,5.437718293149814697e-01,-6.034586549127136657e+00,-4.743594845507777436e+00
8.999999999999999667e-02,-6.490266158521240669e-01,4.942632678088424991e-01,-5.575204212022492278e+00,-5.129296885203749490e+00
1.000000000000000056e-01,-7.024190540828629814e-01,4.411733533452285583e-01,-5.098062799283622937e+00,-5.460579507382499642e+00
1.100000000000000006e-01,-7.509701741589462909e-01,3.850416398778426785e-01,-4.610185917894147778e+00,-5.738842332153551773e+00
1.199999999999999956e-01,-7.946057819606804351e-01,3.263887063170097802e-01,-4.117736758856116452e+00,-5.966344488129811552e+00
1.300000000000000044e-01,-8.333088029526500851e-01,2.657089099278625577e-01,-3.625980663320161224e+00,-6.145950460525255288e+00
1.400000000000000133e-01,-8.671102835397920261e-01,2.034655432877541248e-01,-3.139303119496181349e+00,-6.280907744277492100e+00
1.499999999999999944e-01,-8.960808047500746776e-01,1.400880291426250257e-01,-2.661265943654111954e+00,-6.374662631044522243e+00
1.600000000000000033e-01,-9.203226071389308816e-01,7.597075691561905320e-02,-2.194686627506498677e+00,-6.430714963389916328e+00
1.700000000000000122e-01,-9.399625903324034804e-01,1.147317878146905668e-02,-1.741728911927137968e+00,-6.452509110312581342e+00
1.799999999999999933e-01,-9.551462478082464180e-01,-5.307917601857466139e-02,-1.303995825617709103e+00,-6.443356460454594092e+00
1.900000000000000022e-01,-9.660325254636559222e-01,-1.173930567611379538e-01,-8.826192685371367919e-01,-6.406383975950721066e+00
2.000000000000000111e-01,-9.727895463909330687e-01,-1.812054490887588520e-01,-4.783425276964526351e-01,-6.344503392478242354e+00
2.099999999999999922e-01,-9.755911182828549411e-01,-2.442813151560153939e-01,-9.159385205961173559e-02,-6.260396153587999279e+00
2.200000000000000011e-01,-9.746139284720328755e-01,-3.064112503606881699e-01,2.774495616743594129e-01,-6.156509884664820298e+00
2.300000000000000100e-01,-9.700353300642445831e-01,-3.674091529300885783e-01,6.288070164413636087e-01,-6.035062982576628876e+00
2.399999999999999911e-01,-9.620316272671599611e-01,-4.271099722667182630e-01,9.626485557494320888e-01,-5.898054626303880887e+00
2.500000000000000000e-01,-9.507767761329823930e-01,-4.853675784968259910e-01,1.279257105006293749e+00,-5.747278153887972252e+00
2.600000000000000089e-01,-9.364414266443729096e-01,-5.420527780778038318e-01,1.578997522467017633e+00,-5.584336284854524379e+00
2.700000000000000178e-01,-9.191922421442730862e-01,-5.970514875192717286e-01,1.862291570930399320e+00,-5.410657095910663905e+00
2.800000000000000266e-01,-8.991914417875499499e-01,-6.502630682460277534e-01,2.129597881846886587e+00,-5.227509991647578680e+00
2.899999999999999800e-01,-8.765965205580324993e-01,-7.015988195005499195e-01,2.381396074512977190e+00,-5.036021165517215792e+00
2.999999999999999889e-01,-8.515601092564601959e-01,-7.509806222216415250e-01,2.618174296023719538e+00,-4.837188234397865827e+00
3.099999999999999978e-01,-8.242299436748692365e-01,-7.983397244630967560e-01,2.840419551142520760e+00,-4.631893866381747493e+00
3.200000000000000067e-01,-7.947489179687142746e-01,-8.436156576797677609e-01,3.048610288594065132e+00,-4.420918317876852299e+00
3.300000000000000155e-01,-7.632552021039563650e-01,-8.867552727640188870e-01,3.243210798105155224e+00,-4.204950862496839470e+00
3.400000000000000244e-01,-7.298824072979681610e-01,-9.277118848063857781e-01,3.424667049499127813e+00,-3.984600138321722884e+00
3.500000000000000333e-01,-6.947597867011204853e-01,-9.664445159920695971e-01,3.593403671243053488e+00,-3.760403468024589024e+00
3.599999999999999867e-01,-6.580124612869339140e-01,-1.002917226694192587e+00,3.749821821716634140e+00,-3.532835222713174961e+00
3.699999999999999956e-01,-6.197616631302339529e-01,-1.037098525589923215e+00,3.894297753136497064e+00,-3.302314308610518889e+00
3.800000000000000044e-01,-5.801249900411536986e-01,-1.068960850440706878e+00,4.027181906680239898e+00,-3.069210858470036829e+00
3.900000000000000133e-01,-5.392166669626560216e-01,-1.098480111998765052e+00,4.148798409060761472e+00,-2.833852208764253255e+00
4.000000000000000222e-01,-4.971478106938742592e-01,-1.125635294300321387e+00,4.259444866678075314e+00,-2.596528240552868905e+00
4.100000000000000311e-01,-4.540266954241063968e-01,-1.150408105364531863e+00,4.359392374487692123e+00,-2.357496157481530297e+00
4.199999999999999845e-01,-4.099590172968489155e-01,-1.172782673026532274e+00,4.448885673714156219e+00,-2.116984769254484089e+00
4.299999999999999933e-01,-3.650481568061146875e-01,-1.192745281289562920e+00,4.528143406226859291e+00,-1.875198343618369234e+00
4.400000000000000022e-01,-3.193954382881292742e-01,-1.210284143184613637e+00,4.597358424392325560e+00,-1.632320084695175311e+00
4.500000000000000111e-01,-2.731003861344616923e-01,-1.225389206678722864e+00,4.656698124032530473e+00,-1.388515290606890051e+00
4.600000000000000200e-01,-2.262609776372149772e-01,-1.238051990678757930e+00,4.706304775176184840e+00,-1.143934238864548369e+00
4.700000000000000289e-01,-1.789738925987301721e-01,-1.248265448640887954e+00,4.746295830940011840e+00,-8.987148440209917766e-01
4.799999999999999822e-01,-1.313347600098289103e-01,-1.256023857722259995e+00,4.776764199410107992e+00,-6.529851286463799198e-01
4.899999999999999911e-01,-8.343840223178933257e-02,-1.261322731806039155e+00,4.797778467050173745e+00,-4.068655457933668673e-01
5.000000000000000000e-01,-3.537907721568476355e-02,-1.264158757099477892e+00,4.809383065144864133e+00,-1.604711887771086143e-01
5.100000000000000089e-01,1.274928063574853193e-02,-1.264529749352544030e+00,4.811598373262657269e+00,8.608607770053186559e-02
5.200000000000000178e-01,6.085282030964018346e-02,-1.262434632077264363e+00,4.804420755840055790e+00,3.326955323097663397e-01
5.300000000000000266e-01,1.088375340446516848e-01,-1.257873435470707957e+00,4.787822529877248101e+00,5.792455256852622192e-01
5.400000000000000355e-01,1.566090165183816607e-01,-1.250847316062727144e+00,4.761751863513701721e+00,8.256213909966994002e-01
5.500000000000000444e-01,2.040722226724960842e-01,-1.241358597428490640e+00,4.726132607034420730e+00,1.071703304306754534e+00
5.600000000000000533e-01,2.511312235120772840e-01,-1.229410832630776440e+00,4.680864059758317097e+00,1.317364061657520402e+00
5.700000000000000622e-01,2.976889592600838186e-01,-1.215008889393303537e+00,4.625820678399715113e+00,1.562466738418053280e+00
5.799999999999999600e-01,3.436469893151131716e-01,-1.198159059359519274e+00,4.560851735004558094e+00,1.806862194467780958e+00
5.899999999999999689e-01,3.889052385552686508e-01,-1.178869193166765861e+00,4.485780935594530838e+00,2.050386386272704975e+00
5.999999999999999778e-01,4.333617396588650972e-01,-1.157148863469289246e+00,4.400406014380068953e+00,2.292857443825909503e+00
6.099999999999999867e-01,4.769123712818763017e-01,-1.133009558480822410e+00,4.304498323034736451e+00,2.534072466769874410e+00
6.199999999999999956e-01,5.194505921525964798e-01,-1.106464909084158066e+00,4.197802440308216809e+00,2.773803989807759329e+00
6.300000000000000044e-01,5.608671714288639976e-01,-1.077530953076672793e+00,4.080035834494530000e+00,3.011796062778821614e+00
6.400000000000000133e-01,6.010499160285742715e-01,-1.046226440692180848e+00,3.950888620331053147e+00,3.247759885589449613e+00
6.500000000000000222e-01,6.398833961102964318e-01,-1.012573186164823724e+00,3.810023463224070817e+00,3.481368932679094641e+00
6.600000000000000311e-01,6.772486704726471407e-01,-9.765964707824874580e-01,3.657075697809993198e+00,3.712253496061025171e+00
6.700000000000000400e-01,7.130230143895093242e-01,-9.383255036155104811e-01,3.491653745404895925e+00,3.939994570524773199e+00
6.800000000000000488e-01,7.470796533410141160e-01,-8.977939468974698300e-01,3.313339936623323823e+00,4.164116999792328855e+00
6.900000000000000577e-01,7.792875072833801431e-01,-8.550405138692115381e-01,3.121691872242133403e+00,4.384081798976249722e+00
7.000000000000000666e-01,8.095109515796786726e-01,-8.101096477574289967e-01,2.916244488257008882e+00,4.599277567591200544e+00
7.099999999999999645e-01,8.376096025545590740e-01,-7.630522914156676606e-01,2.696513031154258666e+00,4.809010910030006691e+00
7.199999999999999734e-01,8.634381379169286941e-01,-7.139267579628615357e-01,2.461997197902413337e+00,5.012495788793700058e+00
7.299999999999999822e-01,8.868461651058576756e-01,-6.627997134437849658e-01,2.212186753260267480e+00,5.208841752557182403e+00
7.399999999999999911e-01,9.076781540586900121e-01,-6.097472830074204264e-01,1.946569005761194848e+00,5.397041010006032202e+00
7.500000000000000000e-01,9.257734550881004942e-01,-5.548562922115786167e-01,1.664638603848251242e+00,5.575954366158843989e+00
7.600000000000000089e-01,9.409664276024499729e-01,-4.982256546180801604e-01,1.365910205020349100e+00,5.744296106966485738e+00
7.700000000000000178e-01,9.530867114213462665e-01,-4.399679155731959779e-01,1.049934672081339393e+00,5.900618018538613008e+00
7.800000000000000266e-01,9.619596795132002720e-01,-3.802109596118587453e-01,7.163195580248764571e-01,6.043292869634687037e+00
7.900000000000000355e-01,9.674071191511887102e-01,-3.190998848069382943e-01,3.647547476501588060e-01,6.170497882478481522e+00
8.000000000000000444e-01,9.692481976939912869e-01,-2.567990409970410393e-01,-4.955782564916966226e-03,6.280198981848817752e+00
8.100000000000000533e-01,9.673007792401772109e-01,-1.934942194060323417e-01,-3.928550641763030038e-01,6.370136961186561919e+00
8.200000000000000622e-01,9.613831688319411928e-01,-1.293949677960068989e-01,-7.987860759664524579e-01,6.437817151753638889e+00
8.300000000000000711e-01,9.513163708888029424e-01,-6.473698691772172831e-02,-1.222335610482250479e+00,6.480504736946016919e+00
8.399999999999999689e-01,9.369269568204233734e-01,2.154604864070402970e-04,-1.662768429253082658e+00,6.495228518624388769e+00
8.499999999999999778e-01,9.180506412996340959e-01,6.516722856598144986e-02,-2.118951584645036412e+00,6.478796696072912198e+00
8.599999999999999867e-01,8.945366646010312062e-01,1.297901951826876399e-01,-2.589269640322584110e+00,6.427829008257578636e+00
8.699999999999999956e-01,8.662530658370638514e-01,1.937215842422608802e-01,-3.071532816706128877e+00,6.338810313448639988e+00
8.800000000000000044e-01,8.330929039152115134e-01,2.565629452215210660e-01,-3.562881915846790370e+00,6.208171164000166442e+00
8.900000000000000133e-01,7.949814338363199173e-01,3.178800887934148944e-01,-4.059696290757242920e+00,6.032400917917896344e+00
9.000000000000000222e-01,7.518841696352738246e-01,3.772043312316974428e-01,-4.557514067577396411e+00,5.808198060346743574e+00
9.100000000000000311e-01,7.038156570711900928e-01,4.340354400737630458e-01,-5.050977081951133485e+00,5.532660265755930951e+00
9.200000000000000400e-01,6.508486376630201464e-01,4.878466843248508433e-01,-5.533816074163573795e+00,5.203512897190836206e+00
9.300000000000000488e-01,5.931231157051536362e-01,5.380923553702499085e-01,-5.998893801949162885e+00,4.819368839362020651e+00
9.400000000000000577e-01,5.308546560864730868e-01,5.842180192442615327e-01,-6.438323765797511200e+00,4.380004885627065470e+00
9.500000000000000666e-01,4.643410702176407612e-01,6.256735698508175680e-01,-6.843678928527489269e+00,3.886631052357824245e+00
9.599999999999999645e-01,3.939665302341251452e-01,6.619288699025438483e-01,-7.206297067227692921e+00,3.342120711065608596e+00
9.699999999999999734e-01,3.202021366881790954e-01,6.924914054419757381e-01,-7.517676874753495220e+00,2.751163667228936127e+00
9.799999999999999822e-01,2.436020991055214691e-01,7.169249819671660306e-01,-7.769942629761733777e+00,2.120304074071249101e+00
9.899999999999999911e-01,1.647950006193240058e-01,7.348681252491158222e-01,-7.956337914894319852e+00,1.457832738865148858e+00
1.000000000000000000e+00,8.447009923860272773e-02,7.460506068129598711e-01,-8.071694752262896344e+00,7.735197735914619566e-01
1.010000000000000009e+00,3.359211941850667738e-03,7.503064786077254800e-01,-8.112818410012256010e+00,7.819688376176914257e-02
1.020000000000000018e+00,-7.778466992964228055e-02,7.475822264141013251e-01,-8.078733552107150828e+00,-6.167757197590708618e-01
1.030000000000000027e+00,-1.582104022948652156e-01,7.379391302766891148e-01,-7.970754919037829289e+00,-1.300101165260168834e+00
1.040000000000000036e+00,-2.371914653783458449e-01,7.215495770484012805e-01,-7.792372095611194815e+00,-1.961128411396317439e+00
1.050000000000000044e+00,-3.140466599840508466e-01,6.986877765848241717e-01,-7.548966831478888473e+00,-2.590359354487087984e+00
1.060000000000000053e+00,-3.881572149582590003e-01,6.697159458753302319e-01,-7.247405614818070774e+00,-3.179829501007151116e+00
1.070000000000000062e+00,-4.589793264544141937e-01,6.350674303037681101e-01,-6.895564238904702492e+00,-3.723334570122105447e+00
1.080000000000000071e+00,-5.260517564086749642e-01,5.952283749055229389e-01,-6.501842896383854153e+00,-4.216500816582144040e+00
1.090000000000000080e+00,-5.889986801827662433e-01,5.507194554178966861e-01,-6.074721514777347231e+00,-4.656718310643994663e+00
1.100000000000000089e+00,-6.475284024737869570e-01,5.020788950704669906e-01,-5.622389696032908724e+00,-5.042970143839437647e+00
1.110000000000000098e+00,-7.014288158750805469e-01,4.498476169698317206e-01,-5.152468463777826635e+00,-5.375595657229787605e+00
1.120000000000000107e+00,-7.505605629566683978e-01,3.945569968182126575e-01,-4.671825871609497582e+00,-5.656023721746318955e+00
1.130000000000000115e+00,-7.948488159079152293e-01,3.367193466588110362e-01,-4.186477542695476117e+00,-5.886505428441945575e+00
1.140000000000000124e+00,-8.342744555020280561e-01,2.768210088019571469e-01,-3.701556918779722594e+00,-6.069866955249535678e+00
1.150000000000000133e+00,-8.688652591377161727e-01,2.153177766240375601e-01,-3.221337775548235527e+00,-6.209294952583159777e+00
1.159999999999999920e+00,-8.986875313784438157e-01,1.526322754710164875e-01,-2.749292251652636576e+00,-6.308159778002866425e+00
1.169999999999999929e+00,-9.238384523322544783e-01,8.915291426911672867e-02,-2.288170022847452856e+00,-6.369876796321684687e+00
1.179999999999999938e+00,-9.444392905189695764e-01,2.523403693769236955e-02,-1.840087332168074852e+00,-6.397802704677683749e+00
1.189999999999999947e+00,-9.606295302593610419e-01,-3.880305500611484770e-02,-1.406617678876311395e+00,-6.395162119063392936e+00
1.199999999999999956e+00,-9.725618966178737335e-01,-1.026684844226157522e-01,-9.888786863046183928e-01,-6.364999053868444001e+00
1.209999999999999964e+00,-9.803982185393321780e-01,-1.661018065254750153e-01,-5.876118500373697096e-01,-6.310148046531912414e+00
1.219999999999999973e+00,-9.843060473458082882e-01,-2.288698138492283041e-01,-2.032534965043211184e-01,-6.233220209554453994e+00
1.229999999999999982e+00,-9.844559378747944622e-01,-2.907642654272518667e-01,1.640035800645686104e-01,-6.136600205274973518e+00
1.239999999999999991e+00,-9.810192987821907407e-01,-3.515996312002529489e-01,5.141575935811799614e-01,-6.022450888172738104e+00
1.250000000000000000e+00,-9.741667234425578359e-01,-4.112109138588936341e-01,8.473537053191874113e-01,-5.892723060153955750e+00
1.260000000000000009e+00,-9.640667209297758555e-01,-4.694515881124248780e-01,1.163847549660540714e+00,-5.749168394883456656e+00
1.270000000000000018e+00,-9.508847760112810743e-01,-5.261916807496019866e-01,1.463975386560794956e+00,-5.593354094121954390e+00
1.280000000000000027e+00,-9.347826768034462885e-01,-5.813160027687451770e-01,1.748129929176502229e+00,-5.426678244817285446e+00
1.290000000000000036e+00,-9.159180580251112813e-01,-6.347225363329369596e-01,2.016740956722346212e+00,-5.250385161204776274e+00
1.300000000000000044e+00,-8.944441162730751849e-01,-6.863209735196670325e-01,2.270259911606239189e+00,-5.065580235441882628e+00
1.310000000000000053e+00,-8.705094612578432312e-01,-7.360314000940180179e-01,2.509147779214250473e+00,-4.873243997671180772e+00
1.320000000000000062e+00,-8.442580734423061894e-01,-7.837831152923125932e-01,2.733865647860890480e+00,-4.674245214982829744e+00
1.330000000000000071e+00,-8.158293440609964975e-01,-8.295135774328644684e-01,2.944867439351181115e+00,-4.469352949771255190e+00
1.340000000000000080e+00,-7.853581781460142741e-01,-8.731674647480003326e-01,3.142594384273844188e+00,-4.259247560681159506e+00
1.350000000000000089e+00,-7.529751450493069598e-01,-9.146958409149889002e-01,3.327470889419942957e+00,-4.044530671064444860e+00
1.360000000000000098e+00,-7.188066641355231878e-01,-9.540554151756114321e-01,3.499901507612065199e+00,-3.825734156337046166e+00
1.370000000000000107e+00,-6.829752159266244682e-01,-9.912078875471337369e-01,3.660268773397691078e+00,-3.603328217192577121e+00
1.380000000000000115e+00,-6.455995711014792526e-01,-1.026119370351183502e+00,3.808931712489052490e+00,-3.377728613570373462e+00
1.390000000000000124e+00,-6.067950314726890948e-01,-1.058759878059184256e+00,3.946224869618230269e+00,-3.149303137010022624e+00
1.400000000000000133e+00,-5.666736784496678725e-01,-1.089102878231734017e+00,4.072457729711771002e+00,-2.918377398319839777e+00
1.409999999999999920e+00,-5.253446256116305335e-01,-1.117124897087647506e+00,4.187914431991767827e+00,-2.685240004615448317e+00
1.419999999999999929e+00,-4.829142729070924900e-01,-1.142805173959940745e+00,4.292853696692757737e+00,-2.450147195650004495e+00
1.429999999999999938e+00,-4.394865607096240523e-01,-1.166125359571888120e+00,4.387508900342520946e+00,-2.213327004590903258e+00
1.439999999999999947e+00,-3.951632225274755439e-01,-1.187069253692689230e+00,4.472088248672156929e+00,-1.974983003431989070e+00
1.449999999999999956e+00,-3.500440356155558597e-01,-1.205622578308973791e+00,4.546775006773323469e+00,-1.735297688355630807e+00
1.459999999999999964e+00,-3.042270690951107692e-01,-1.221772782977411431e+00,4.611727754590858375e+00,-1.494435555764413337e+00
1.469999999999999973e+00,-2.578089294679320465e-01,-1.235508879508601554e+00,4.667080642628644860e+00,-1.252545915505736795e+00
1.479999999999999982e+00,-2.108850036330144895e-01,-1.246821303577616336e+00,4.712943628188198453e+00,-1.009765484083920084e+00
1.489999999999999991e+00,-1.635496996862350616e-01,-1.255701801266974948e+00,4.749402676828666792e+00,-7.662207974308361536e-01
1.500000000000000000e+00,-1.158966859173317099e-01,-1.262143338928617409e+00,4.776519917262657344e+00,-5.220304801045287935e-01
1.510000000000000009e+00,-6.801912852060199022e-02,-1.266140035107869988e+00,4.794333740775996944e+00,-2.773074056103385088e-01
1.520000000000000018e+00,-2.000992861196736194e-02,-1.267687113609730520e+00,4.802858838643444983e+00,-3.216078088926344059e-02
1.530000000000000027e+00,2.803804080048923064e-02,-1.266780877111267412e+00,4.802086173046527406e+00,2.133018131100400117e-01
1.540000000000000036e+00,7.603169720986464875e-02,-1.263418701038728553e+00,4.791982878808431323e+00,4.589723934689553531e-01
1.550000000000000044e+00,1.238775096667236453e-01,-1.257599047739260678e+00,4.772492094958665554e+00,7.047405287311280242e-01
1.560000000000000053e+00,1.714812577958176321e-01,-1.249321501290139969e+00,4.743532726836904523e+00,9.504912420839647380e-01
1.570000000000000062e+00,2.187477880863685775e-01,-1.238586823608352594e+00,4.704999141251869688e+00,1.196102831685161849e+00
1.580000000000000071e+00,2.655807668035965463e-01,-1.225397032855572998e+00,4.656760799244211491e+00,1.441444574030879888e+00
1.590000000000000080e+00,3.118824289254802928e-01,-1.209755505483545823e+00,4.598661833391003206e+00,1.686374274208741753e+00
1.600000000000000089e+00,3.575533225910572654e-01,-1.191667103638190506e+00,4.530520579480456611e+00,1.930735624255600857e+00
1.610000000000000098e+00,4.024920486606987091e-01,-1.171138330043216991e+00,4.452129075950622905e+00,2.174355327632957913e+00
1.620000000000000107e+00,4.465949951424165176e-01,-1.148177512921545462e+00,4.363252548929758667e+00,2.417039944033477106e+00
1.630000000000000115e+00,4.897560664412711762e-01,-1.122795023991344010e+00,4.263628906285123144e+00,2.658572404343285456e+00
1.640000000000000124e+00,5.318664076539615371e-01,-1.095003533098853898e+00,4.152968271080059282e+00,2.898708140629954855e+00
1.650000000000000133e+00,5.728141244735688309e-01,-1.064818303627872886e+00,4.030952593619343105e+00,3.137170770561042321e+00
1.660000000000000142e+00,6.124839997100725020e-01,-1.032257533460536392e+00,3.897235392270744558e+00,3.373647269788511149e+00
1.669999999999999929e+00,6.507572079953539701e-01,-9.973427469592528460e-01,3.751441687019802185e+00,3.607782559739738826e+00
1.679999999999999938e+00,6.875110309575057643e-01,-9.600992441964681934e-01,3.593168206885977600e+00,3.839173432222608096e+00
1.689999999999999947e+00,7.226185760558972992e-01,-9.205566144749945945e-01,3.421983973665062351e+00,4.067361726719019188e+00
1.699999999999999956e+00,7.559485034114484803e-01,-8.787493220493333146e-01,3.237431390862471225e+00,4.291826671859962694e+00
1.709999999999999964e+00,7.873647664014279401e-01,-8.347173728623525912e-01,3.039027999181110662e+00,4.511976300293204289e+00
1.719999999999999973e+00,8.167263735814104253e-01,-7.885070720252869148e-01,2.826269099692259701e+00,4.727137847321961850e+00
1.729999999999999982e+00,8.438871817276584197e-01,-7.401718826499038562e-01,2.598631494113050611e+00,4.936547050204104892e+00
1.739999999999999991e+00,8.686957325530646479e-01,-6.897733974253634770e-01,2.355578649732501528e+00,5.139336279474197688e+00
1.750000000000000000e+00,8.909951490436778254e-01,-6.373824349239830545e-01,2.096567665659466506e+00,5.334521459650163777e+00
1.760000000000000009e+00,9.106231115065298587e-01,-5.830802728839906690e-01,1.821058498072843257e+00,5.520987778993003303e+00
1.770000000000000018e+00,9.274119384350966167e-01,-5.269600304629038501e-01,1.528525995208740218e+00,5.697474252904600078e+00
1.780000000000000027e+00,9.411888033055737512e-01,-4.691282104203888248e-01,1.218475396838349933e+00,5.862557301221015926e+00
1.790000000000000036e+00,9.517761255157873856e-01,-4.097064100207013504e-01,8.904620647924036403e-01,6.014633636360269264e+00
1.800000000000000044e+00,9.589921819247261281e-01,-3.488332056742848852e-01,5.441163241724753519e-01,6.151902949565819512e+00
1.810000000000000053e+00,9.626519948149140360e-01,-2.866662103606901213e-01,1.791743977369240626e-01,6.272351141024501864e+00
1.820000000000000062e+00,9.625685624073726521e-01,-2.233842939287803975e-01,-2.044835102392900672e-01,6.373735182492057838e+00
1.830000000000000071e+00,9.585545089039156919e-01,-1.591899435280772490e-01,-6.067869084738506391e-01,6.453571143934905940e+00
1.840000000000000080e+00,9.504242416600789944e-01,-9.431172361014966699e-02,-1.027419503793987277e+00,6.509127470580684083e+00
1.850000000000000089e+00,9.379967122508722221e-01,-2.900677098330364800e-02,-1.465753732646622787e+00,6.537426266159704014e+00
1.860000000000000098e+00,9.210988839465635847e-01,3.643677082019390612e-02,-1.920775075116514685e+00,6.535256105921098957e+00
1.870000000000000107e+00,8.995700076574784099e-01,1.016975129436270969e-01,-2.390996700197090874e+00,6.499200721310073980e+00
1.880000000000000115e+00,8.732667978858397184e-01,1.664189610724167434e-01,-2.874366242485840051e+00,6.425688669759098026e+00
1.890000000000000124e+00,8.420695746935600301e-01,2.302082712689534905e-01,-3.368168300786128722e+00,6.311069660959579330e+00
1.900000000000000133e+00,8.058893913000655385e-01,2.926359180785956804e-01,-3.868928638758189376e+00,6.151723299951943780e+00
1.910000000000000142e+00,7.646760935046297281e-01,3.532366277889989470e-01,-4.372329023912512547e+00,5.944205276103248892e+00
1.919999999999999929e+00,7.184271514851486851e-01,4.115119738549478656e-01,-4.873144962973324112e+00,5.685434047388520540e+00
1.929999999999999938e+00,6.671969645339562716e-01,4.669350483679446939e-01,-5.365221823978159499e+00,5.372917403747825560e+00
