# t [yrs], x [au], y [au], vx [au/yrs], vy [au/yrs]
0.000000000000000000e+00,0.000000000000000000e+00,9.832899999999999974e-01,-6.389069387012315637e+00,0.000000000000000000e+00
1.000000000000000056e-01,-6.008674616807815339e-01,7.981503531184362954e-01,-4.966279313242443649e+00,-3.618022741316819779e+00
2.000000000000000111e-01,-9.612623433901417158e-01,3.134763584816818160e-01,-1.773200508740467640e+00,-5.669871212193787535e+00
3.000000000000000444e-01,-9.581593350994446201e-01,-2.768706292587020390e-01,2.029823343650752676e+00,-5.547327383304839543e+00
4.000000000000000222e-01,-5.855006706085401635e-01,-7.445782385999036856e-01,5.246440144100320779e+00,-3.105680765851138947e+00
5.000000000000000000e-01,3.312881363965247683e-02,-8.620252259813143692e-01,6.330047839192632253e+00,1.331825762620495457e+00
6.000000000000000888e-01,5.925982667847221608e-01,-4.809196323948130014e-01,3.515734056249864015e+00,5.830748770029297035e+00
7.000000000000000666e-01,6.524410848903084981e-01,2.236231045556072439e-01,-2.338353781009872012e+00,6.412650822808642737e+00
8.000000000000000444e-01,1.294450406594237490e-01,6.591463879021042249e-01,-6.108525193661993313e+00,1.600883892090940286e+00
9.000000000000000222e-01,-4.567205887719949509e-01,4.544267596799247411e-01,-3.784967068722005390e+00,-4.170846940900085009e+00
1.000000000000000000e+00,-4.654153758372312488e-01,-1.724509791998222186e-01,2.866847189468825885e+00,-5.755992321421896207e+00
